Dataset,Robot,# Episodes,File Size (GB),Robot Morphology,Gripper,Action Space,# RGB Cams,# Depth Cams,# Wrist Cams,Language Annotations,Data Collect Method,Has Suboptimal?,Has Camera Calibration?,Has Proprioception?,Scene Type,Control Frequency,Registered Dataset Name,Description
RT-1 Robot Action,Google Robot,"73,499",111.06,Mobile Manipulator,Default,EEF Position,1,1,0,Templated,Human VR,No,No,Yes,"Table Top, Kitchen (also toy kitchen)",3,fractal20220817_data,"Robot picks, places and moves 17 objects from the google micro kitchens."
QT-Opt,Kuka iiwa,"580,392",778.02,Single Arm,Default,EEF Position,1,0,0,None,Expert Policy,No,No,Yes,Table Top,10,kuka,Kuka robot picking objects in a bin.
Berkeley Bridge,WidowX,"25,460",387.49,Single Arm,Default,EEF Position,4,1,1,Natural,Human VR,Yes,No,Yes,"Table Top, Kitchen (also toy kitchen), Other Household environments",5,bridge,"The robot interacts with household environments including kitchens, sinks, and tabletops. Skills include object rearrangement, sweeping, stacking, folding, and opening/closing doors and drawers.�"
Freiburg Franka Play,Franka,"3,242",47.77,Single Arm,Custom 3D printed,EEF Position,2,2,2,Templated,Human VR,No,Yes,Yes,Table Top,15,taco_play,"""The robot interacts with toy blocks, it pick and places them, stacks them, unstacks them, opens drawers, sliding doors and turrns on LED lights by pushing buttons."""
USC Jaco Play,Jaco 2,976,9.24,Single Arm,Default,EEF Position,2,0,1,Templated,Human VR,No,No,Yes,"Table Top, Kitchen (also toy kitchen)",10,jaco_play,"The robot performs pick-place tasks in a tabletop toy kitchen environment. Some examples of the task include, ""Pick up the orange fruit."", ""Put the black bowl in the sink."""
Berkeley Cable Routing,Franka,"1,482",4.67,Single Arm,Default,EEF velocity,3,0,2,None,Human VR,No,No,Yes,Table Top,10,berkeley_cable_routing,The robot routes cable through a number of tight-fitting clips mounted on the table.
Roboturk,Sawyer,"2,144",45.39,Single Arm,Default,EEF Position,2,1,0,Templated,Human VR,No,No,Yes,Table Top,10,roboturk,"Sawyer robots flattens laundry, builds towers from bowls and searches objects."
NYU VINN,Hello Stretch,435,7.12,Mobile Manipulator,Default,EEF Position,1,0,1,None,Human Kinesthetic,Yes,Yes,No,"Kitchen (also toy kitchen), Other Household environments",3,nyu_door_opening_surprising_effectiveness,The robot opens cabinet doors for a variety of cabinets.
Austin VIOLA,Franka,135,10.4,Single Arm,Default,EEF Position,2,0,1,Templated,Human Spacemouse,No,No,Yes,Table Top,20,viola,"The robot performs various household-like tasks, such as setting up the table, or making coffee using a coffee machine.�"
Berkeley Autolab UR5,UR5,896,76.39,Single Arm,Robotiq 2F-85,EEF Position,2,1,1,Templated,Human Spacemouse,No,No,Yes,Table Top,5,berkeley_autolab_ur5,"The data consists of 4 robot manipulation tasks: simple pick-and-place of a stuffed animal between containers, sweeping a cloth, stacking cups, and a more difficult pick-and-place of a bottle that requires precise grasp and 6DOF rotation"
TOTO Benchmark,Franka,901,127.66,Single Arm,Default,Joint position,1,0,0,None,"The dataset is collected in 3 ways: Human teleoperation -- VR Teleop, trained state-based BC policies, and trajectory replay with noise",Yes,No,Yes,Table Top,30,toto,"The TOTO Benchmark Dataset contains trajectories of two tasks: scooping and pouring. For scooping, the objective is to scoop material from a bowl into the spoon. For pouring, the goal is to pour some material into a target cup on the table.�"
Language Table,xArm,"442,226",399.22,Single Arm,Stick for pushing,EEF Position,1,0,0,Natural,Human VR,No,No,Yes,Table Top,10,language_table,Robot pushed blocks of different geometric shapes on table top.
Columbia PushT Dataset,UR5,122,2.8,Single Arm,3D printed stick,EEF Position,5,0,1,None,Human VR,No,No,Yes,Table Top,10,columbia_cairlab_pusht_real,"The robot pushes a T-shaped block into a fixed goal pose, and then move to an fixed exit zone."
Stanford Kuka Multimodal,Kuka iiwa,"3,000",31.98,Single Arm,,EEF Position,1,0,0,None,Expert Policy,Yes,No,Yes,Table Top,20,stanford_kuka_multimodal_dataset_converted_externally_to_rlds,The robot learns to insert differently-shaped pegs into differently-shaped holes with low tolerances (~2mm).
NYU ROT,xArm,14,0.01,Single Arm,Default,EEF Position,1,0,0,Templated,Human Joystick,No,No,Yes,Table Top,3,nyu_rot_dataset_converted_externally_to_rlds,"The robot arm performs diverse manipulation tasks on a tabletop such an box opening, cup stacking, and pouring, among others.�"
Stanford HYDRA,Franka,550,72.48,Single Arm,Default,EEF Position,2,0,1,Templated,Human VR,No,No,Yes,"Table Top, Kitchen (also toy kitchen)",10,stanford_hydra_dataset_converted_externally_to_rlds,The robot performs the following tasks in corresponding environment: making a cup of coffee using the keurig machine; making a toast using the oven; sorting dishes onto the dish rack.
Austin BUDS,Franka,50,1.49,Single Arm,Default,EEF Position,2,0,1,None,Human Spacemouse,No,No,Yes,Table Top,20,austin_buds_dataset_converted_externally_to_rlds,"The robot is trying to solve a long-horizon kitchen task by picking up pot, placing the pot in a plate, and push them together using a picked-up tool."
NYU Franka Play,Franka,456,5.18,Single Arm,Default,EEF velocity,2,2,0,None,Human VR,No,No,Yes,Kitchen (also toy kitchen),3,nyu_franka_play_dataset_converted_externally_to_rlds,"The robot interacts with a toy kitchen doing arbitrary tasks. It opens/closes the microwave door, opens/closes the oven door, turns the stove knobs, and moves the pot between the stove and the sink."
Maniskill,Franka,"30,000",151.05,Single Arm,Default,EEF Position,2,2,2,Templated,Scripted,Yes,Yes,Yes,Table Top,20,maniskill_dataset_converted_externally_to_rlds,"The robot interacts with different objects placed on the plane (ground). The tasks include picking an isolated object or an object from the clutter up and moving it to a goal position, stacking a red cube onto a green cube, inserting a peg into the box, assembling kits, plugging a charger into the outlet on the wall, turning on a faucet."
Furniture Bench,Franka,5100,110,Single Arm,Default,EEF velocity,2,0,1,Templated,Human VR,No,No,Yes,Table Top,10,furniture_bench_dataset_converted_externally_to_rlds,"The robot assembles one of 9 3D-printed furniture models on the table, which requires grasping, inserting, and screwing."
CMU Franka Exploration,Franka,200,0.59,Single Arm,Default,EEF Position,1,0,0,Templated,Expert Policy,Yes,No,No,Kitchen (also toy kitchen),10,cmu_franka_exploration_dataset_converted_externally_to_rlds,"Franka exploring kitchen environment, lifting knife and vegetable and opening cabinet."
UCSD Kitchen,xArm,150,1.33,Single Arm,Default,EEF Position,1,0,0,Natural,Human VR,No,No,Yes,Kitchen (also toy kitchen),2,ucsd_kitchen_dataset_converted_externally_to_rlds,"The dataset offers a comprehensive set of real-world robotic interactions, involving natural language instructions and complex manipulations with kitchen objects."
